year,area,population,snapHousehold,snapHouseholdWithChildren,snapMarriedWithChildren,snapOtherFamilyWithChildren,snapSingleFather,snapSingleMother,snapNonFamily,snapNoChildren,snapMarriedNoChildren,snapOtherFamilyNoChildren,snapSingleMale,snapSingleFemale,snapNonFamilyNoChildren,nonSnapHousehold,nonSnapHouseholdWithChildren,nonSnapMarriedWithChildren,nonSnapOtherFamilyWithChildren,nonSnapSingleFather,nonSnapSingleMother,nonSnapNonFamily,nonSnapNoChildren,nonSnapMarriedNoChildren,nonSnapOtherFamilyNoChildren,nonSnapSingleMale,nonSnapSingleFemale,nonSnapNonFamilyNoChildren
2022,White Oak,39543,863,450,212,213,18,195,25,413,66,122,0,122,225,38680,18673,15355,3303,1099,2204,15,20007,9907,1207,224,983,8893
2021,Bartons Creek,8020,36,16,6,10,0,10,0,20,0,20,20,0,0,7984,2948,2561,387,54,333,0,5036,3883,178,47,131,975
2021,Buckhorn,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,2981,1924,1777,137,0,137,10,1057,524,119,56,63,414
2021,Cary,32279,1177,725,269,456,176,280,0,452,101,19,0,19,332,31102,9038,6689,2285,846,1439,64,22064,9876,1611,570,1041,10577
2021,Cedar Fork,23436,671,394,236,158,0,158,0,277,68,64,0,64,145,22765,7947,6845,991,193,798,111,14818,6255,909,308,601,7654
2021,Holly Springs,17083,496,300,111,189,40,149,0,196,14,91,65,26,91,16587,8447,7003,1439,601,838,5,8140,4918,446,119,327,2776
2021,House Creek,28357,1626,1001,235,766,86,680,0,625,0,96,67,29,529,26731,5538,3957,1541,278,1263,40,21193,7052,1599,517,1082,12542
2021,Leesville,17259,302,104,49,55,0,55,0,198,0,58,0,58,140,16957,5646,4696,924,300,624,26,11311,5001,665,155,510,5645
2021,Little River,5997,408,272,152,120,30,90,0,136,37,54,0,54,45,5589,1533,1018,412,22,390,103,4056,2276,504,14,490,1276
2021,Marks Creek,9722,861,375,113,250,58,192,12,486,58,77,17,60,351,8861,3079,2248,813,271,542,18,5782,3140,523,69,454,2119
2021,Meredith,9577,357,199,83,116,32,84,0,158,0,0,0,0,158,9220,1510,1118,372,61,311,20,7710,1415,358,164,194,5937
2021,Middle Creek,20101,1498,821,237,556,64,492,28,677,87,232,0,232,358,18603,7769,6481,1288,305,983,0,10834,6240,571,207,364,4023
2021,Neuse,31769,2869,1789,444,1345,109,1236,0,1080,28,282,0,282,770,28900,8946,6141,2794,623,2171,11,19954,6589,1679,423,1256,11686
2021,New Light,3531,69,39,25,14,0,14,0,30,0,16,16,0,14,3462,1358,1179,179,109,70,0,2104,1382,66,15,51,656
2021,Panther Branch,10399,510,286,161,125,39,86,0,224,34,15,0,15,175,9889,3277,2734,543,350,193,0,6612,4111,559,142,417,1942
2021,Raleigh,51580,4459,2211,323,1888,163,1725,0,2248,160,377,122,255,1711,47121,9007,6441,2484,617,1867,82,38114,10042,1639,496,1143,26433
2021,St. Marys,25656,3238,2028,504,1497,317,1180,27,1210,242,243,28,215,725,22418,7519,4671,2729,820,1909,119,14899,5579,2206,524,1682,7114
2021,St. Matthews,29864,3139,1887,666,1143,118,1025,78,1252,128,494,133,361,630,26725,8554,5467,2983,927,2056,104,18171,7300,2127,611,1516,8744
2021,Swift Creek,22309,1067,449,215,234,16,218,0,618,55,123,14,109,440,21242,5237,4311,915,359,556,11,16005,6506,977,353,624,8522
2021,Wake Forest,35045,1690,749,146,603,34,569,0,941,73,467,11,456,401,33355,12578,9955,2552,607,1945,71,20777,10845,1351,588,763,8581
2021,White Oak,37179,717,434,121,290,20,270,23,283,0,35,0,35,248,36462,17872,14769,3091,1095,1996,12,18590,9389,1118,264,854,8083
2020,Bartons Creek,7776,68,36,26,10,0,10,0,32,8,13,13,0,11,7708,2996,2653,343,54,289,0,4712,3558,199,54,145,955
2020,Buckhorn,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,2312,1541,1438,94,0,94,9,771,363,24,0,24,384
2020,Cary,32440,1205,742,208,534,162,372,0,463,81,62,0,62,320,31235,9185,6769,2286,967,1319,130,22050,10050,1618,611,1007,10382
2020,Cedar Fork,23103,330,203,122,81,0,81,0,127,50,42,0,42,35,22773,7936,6833,994,188,806,109,14837,5848,770,227,543,8219
2020,Holly Springs,15273,441,288,117,171,33,138,0,153,75,46,21,25,32,14832,7721,6343,1334,557,777,44,7111,4381,340,114,226,2390
2020,House Creek,28663,1409,850,194,656,109,547,0,559,0,71,32,39,488,27254,5665,3968,1656,390,1266,41,21589,7351,1479,543,936,12759
2020,Leesville,17293,284,94,42,52,18,34,0,190,0,64,0,64,126,17009,5804,4792,992,296,696,20,11205,4868,681,157,524,5656
2020,Little River,5383,326,208,133,75,14,61,0,118,51,44,0,44,23,5057,1522,1103,321,85,236,98,3535,2062,354,28,326,1119
2020,Marks Creek,8763,741,332,114,199,58,141,19,409,59,89,18,71,261,8022,2820,1979,841,178,663,0,5202,2859,465,25,440,1878
2020,Meredith,9458,296,148,59,89,0,89,0,148,0,0,0,0,148,9162,1521,1262,259,55,204,0,7641,1534,509,190,319,5598
2020,Middle Creek,18157,1309,773,252,496,101,395,25,536,92,70,0,70,374,16848,7475,6191,1284,428,856,0,9373,5139,500,173,327,3734
2020,Neuse,31603,2931,1914,434,1480,73,1407,0,1017,27,293,5,288,697,28672,8748,6006,2732,657,2075,10,19924,7098,1743,412,1331,11083
2020,New Light,3468,29,16,16,0,0,0,0,13,0,0,0,0,13,3439,1306,1124,182,105,77,0,2133,1358,62,15,47,713
2020,Panther Branch,9604,380,203,115,88,26,62,0,177,2,0,0,0,175,9224,3046,2635,401,186,215,10,6178,3741,507,86,421,1930
2020,Raleigh,51307,4532,2345,342,1996,201,1795,7,2187,106,471,148,323,1610,46775,9193,6593,2544,631,1913,56,37582,10340,1725,467,1258,25517
2020,St. Marys,25204,3282,2443,727,1670,321,1349,46,839,184,288,30,258,367,21922,7448,4564,2733,859,1874,151,14474,5414,1889,462,1427,7171
2020,St. Matthews,29211,2728,1574,539,973,127,846,62,1154,102,365,51,314,687,26483,8365,5289,2939,758,2181,137,18118,7426,1902,531,1371,8790
2020,Swift Creek,21994,921,440,154,286,44,242,0,481,35,84,0,84,362,21073,5602,4457,1140,391,749,5,15471,6144,978,405,573,8349
2020,Wake Forest,33329,1536,620,179,441,0,441,0,916,74,497,11,486,345,31793,12801,10243,2479,512,1967,79,18992,9539,1131,387,744,8322
2020,White Oak,36211,768,463,186,277,10,267,0,305,0,15,0,15,290,35443,18464,14495,3925,1957,1968,44,16979,8554,1072,279,793,7353
2019,Bartons Creek,7565,69,45,23,22,0,22,0,24,8,6,6,0,10,7496,2745,2541,204,74,130,0,4751,3577,137,91,46,1037
2019,Buckhorn,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,1225,1095,119,0,119,11,754,333,72,0,72,349
2019,Cary,31947,1224,734,265,469,113,356,0,490,39,88,5,83,363,30723,9191,6889,2203,559,1644,99,21532,10242,1766,649,1117,9524
2019,Cedar Fork,21837,390,218,135,83,0,83,0,172,82,22,0,22,68,21447,8664,7389,1202,243,959,73,12783,4910,640,272,368,7233
2019,Holly Springs,14724,530,290,164,126,21,105,0,240,102,89,25,64,49,14194,7389,6236,1087,268,819,66,6805,3960,436,114,322,2409
2019,House Creek,28217,1385,719,164,555,152,403,0,666,18,74,31,43,574,26832,5542,3875,1645,424,1221,22,21290,7093,1417,470,947,12780
2019,Leesville,17435,323,151,34,117,9,108,0,172,0,73,0,73,99,17112,6042,4984,1032,356,676,26,11070,4759,702,217,485,5609
2019,Little River,5207,500,347,157,190,61,129,0,153,62,48,0,48,43,4707,1402,950,413,92,321,39,3305,1806,307,82,225,1192
2019,Marks Creek,8545,730,264,85,171,15,156,8,466,89,89,14,75,288,7815,3075,1964,1111,297,814,0,4740,2615,517,56,461,1608
2019,Meredith,8733,293,141,70,71,0,71,0,152,0,0,0,0,152,8440,1493,1114,357,122,235,22,6947,1689,475,177,298,4783
2019,Middle Creek,18409,1323,768,278,490,84,406,0,555,90,97,66,31,368,17086,7360,6333,1027,423,604,0,9726,5573,507,187,320,3646
2019,Neuse,31522,2832,1884,402,1482,151,1331,0,948,78,225,5,220,645,28690,9174,6571,2593,654,1939,10,19516,6898,1975,501,1474,10643
2019,New Light,3187,77,15,15,0,0,0,0,62,0,0,0,0,62,3110,1179,1005,174,93,81,0,1931,1403,62,0,62,466
2019,Panther Branch,9039,471,308,166,142,25,117,0,163,11,0,0,0,152,8568,2985,2444,525,257,268,16,5583,3450,313,68,245,1820
2019,Raleigh,49975,5260,2674,497,2170,172,1998,7,2586,191,460,80,380,1935,44715,9016,6439,2521,621,1900,56,35699,9146,1860,506,1354,24693
2019,St. Marys,25276,3543,2673,744,1881,434,1447,48,870,218,266,30,236,386,21733,7779,4861,2754,850,1904,164,13954,5076,2266,533,1733,6612
2019,St. Matthews,28968,2726,1563,512,994,240,754,57,1163,129,504,81,423,530,26242,8741,5518,3138,659,2479,85,17501,7173,2000,499,1501,8328
2019,Swift Creek,21990,947,544,171,373,77,296,0,403,15,109,0,109,279,21043,5822,4680,1137,379,758,5,15221,6390,690,189,501,8141
2019,Wake Forest,30809,1246,703,207,496,23,473,0,543,85,191,11,180,267,29563,13034,10487,2513,513,2000,34,16529,8844,956,280,676,6729
2019,White Oak,34808,796,461,145,316,7,309,0,335,11,22,12,10,302,34012,17252,14331,2893,833,2060,28,16760,8383,1297,328,969,7080
2018,Bartons Creek,7598,98,65,26,39,0,39,0,33,8,5,5,0,20,7500,2798,2499,299,35,264,0,4702,3423,140,78,62,1139
2018,Buckhorn,1703,8,0,0,0,0,0,0,8,0,0,0,0,8,1695,1014,977,27,0,27,10,681,338,69,0,69,274
2018,Cary,31899,1210,714,249,465,14,451,0,496,39,84,6,78,373,30689,9281,6695,2492,609,1883,94,21408,10121,1650,570,1080,9637
2018,Cedar Fork,21184,370,233,114,119,20,99,0,137,28,26,0,26,83,20814,8180,7130,959,235,724,91,12634,4670,589,240,349,7375
2018,Holly Springs,14021,673,324,223,101,20,81,0,349,148,103,24,79,98,13348,6931,5829,1032,270,762,70,6417,3705,445,149,296,2267
2018,House Creek,27795,1512,983,234,749,264,485,0,529,12,47,11,36,470,26283,5479,3928,1529,404,1125,22,20804,6832,1407,414,993,12565
2018,Leesville,17683,506,275,64,211,99,112,0,231,58,79,0,79,94,17177,6010,4825,1149,357,792,36,11167,4730,637,221,416,5800
2018,Little River,4777,463,307,157,150,46,104,0,156,81,15,0,15,60,4314,1404,986,371,102,269,47,2910,1509,342,126,216,1059
2018,Marks Creek,8366,639,326,92,234,29,205,0,313,36,75,0,75,202,7727,3142,2057,1059,269,790,26,4585,2483,487,107,380,1615
2018,Meredith,8269,313,172,104,68,0,68,0,141,0,0,0,0,141,7956,1409,1064,329,84,245,16,6547,1560,531,254,277,4456
2018,Middle Creek,17990,1167,707,271,436,69,367,0,460,88,72,53,19,300,16823,7444,6328,1076,322,754,40,9379,5410,532,209,323,3437
2018,Neuse,30990,2724,1897,328,1569,129,1440,0,827,101,214,24,190,512,28266,9045,6181,2837,795,2042,27,19221,6490,1784,488,1296,10947
2018,New Light,3031,61,0,0,0,0,0,0,61,0,0,0,0,61,2970,1170,1021,149,67,82,0,1800,1330,65,13,52,405
2018,Panther Branch,8855,441,298,144,154,29,125,0,143,11,13,13,0,119,8414,2966,2377,575,301,274,14,5448,3285,305,99,206,1858
2018,Raleigh,48932,5675,2822,668,2145,278,1867,9,2853,167,607,150,457,2079,43257,8926,6418,2485,740,1745,23,34331,8946,1842,471,1371,23543
2018,St. Marys,24821,3252,2398,769,1559,429,1130,70,854,185,264,17,247,405,21569,7707,4825,2757,740,2017,125,13862,4970,2058,404,1654,6834
2018,St. Matthews,27748,2681,1603,503,1093,187,906,7,1078,104,531,67,464,443,25067,8795,5707,2996,722,2274,92,16272,6686,1830,490,1340,7756
2018,Swift Creek,21926,939,615,173,442,76,366,0,324,0,90,0,90,234,20987,5853,4647,1200,359,841,6,15134,6325,899,367,532,7910
2018,Wake Forest,29665,1455,946,286,646,78,568,14,509,109,181,0,181,219,28210,12472,10280,2150,388,1762,42,15738,8379,784,194,590,6575
2018,White Oak,33245,900,633,183,450,29,421,0,267,12,26,15,11,229,32345,16486,13868,2570,666,1904,48,15859,7865,1260,385,875,6734
2017,Bartons Creek,7693,121,70,27,43,0,43,0,51,19,9,9,0,23,7572,2821,2524,297,56,241,0,4751,3445,190,61,129,1116
2017,Buckhorn,1495,7,0,0,0,0,0,0,7,0,0,0,0,7,1488,825,803,22,0,22,0,663,366,72,9,63,225
2017,Cary,31998,1249,801,337,464,29,435,0,448,39,54,7,47,355,30749,9233,6742,2381,576,1805,110,21516,9882,1583,603,980,10051
2017,Cedar Fork,20248,295,223,96,127,21,106,0,72,32,12,0,12,28,19953,7889,6815,1009,287,722,65,12064,4350,513,220,293,7201
2017,Holly Springs,13238,639,251,176,75,13,62,0,388,171,78,23,55,139,12599,6609,5534,1008,252,756,67,5990,3357,464,120,344,2169
