"Label (Grouping)","Wake County, North Carolina!!Estimate","Wake County, North Carolina!!Margin of Error"
"Total:","481,294",
"    With cash public assistance or Food Stamps/SNAP","29,043",
"    No cash public assistance or Food Stamps/SNAP","452,251",
