Household Size,48 States and DC Guam Virgin Islands,Alaska,Hawaii
1,"$1,632.00","$2,038.00","$1,876.00"
2,"$2,215.00","$2,767.00","$2,546.00"
3,"$2,798.00","$3,496.00","$3,217.00"
4,"$3,380.00","$4,225.00","$3,887.00"
5,"$3,963.00","$4,955.00","$4,558.00"
6,"$4,546.00","$5,684.00","$5,229.00"
7,"$5,129.00","$6,413.00","$5,899.00"
8,"$5,712.00","$7,142.00","$6,570.00"
