fiscal_year,income_limit,recipient
2020,2659,Hawaii
2021,2707,Hawaii
2022,2737,Hawaii
2023,2870,Hawaii
2024,3098,Hawaii
2025,3217,Hawaii
2026,3321,Hawaii
