Household Size,48 States and DC Guam Virgin Islands,Alaska,Hawaii
1,"$1,354.00","$1,690.00","$1,558.00"
2,"$1,832.00","$2,290.00","$2,109.00"
3,"$2,311.00","$2,889.00","$2,659.00"
4,"$2,790.00","$3,488.00","$3,209.00"
5,"$3,269.00","$4,087.00","$3,760.00"
6,"$3,748.00","$4,686.00","$4,310.00"
7,"$4,227.00","$5,285.00","$4,860.00"
8,"$4,705.00","$5,884.00","$5,411.00"
