Household Size,48 States and DC Guam Virgin Islands,Alaska,Hawaii
1,"$1,383.00","$1,728.00","$1,591.00"
2,"$1,868.00","$2,335.00","$2,149.00"
3,"$2,353.00","$2,942.00","$2,707.00"
4,"$2,839.00","$3,548.00","$3,265.00"
5,"$3,324.00","$4,155.00","$3,822.00"
6,"$3,809.00","$4,762.00","$4,380.00"
7,"$4,295.00","$5,368.00","$4,938.00"
8,"$4,780.00","$5,975.00","$5,496.00"
